,Average User Rating,User Rating Count,Price,In-app Purchases,Languages,Size,Update_Gap,Name,Subtitle,age_rating,GenreList,Puzzle,Simulation,Action,Board
0,4,3553,2.99,,17,15853568,3245 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
1,3.5,284,1.99,,1,12328960,3597 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
2,3,8376,0,,1,674816,3343 days 00:00:00.000000000,0,0,4,  Board  ,0,0,0,1
3,3.5,190394,0,,17,21552128,3233 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
4,3.5,28,2.99,,15,34689024,3656 days 00:00:00.000000000,0,0,4,    Board  Education,0,0,0,1
5,3,47,0,1.99,1,48672768,3925 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
6,2.5,35,0,,1,6328320,1933 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
7,2.5,125,0.99,,1,64333824,3713 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
8,2.5,44,0,,1,2657280,3399 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
9,2.5,184,0,,1,1466515,0 days 00:00:00.000000000,0,0,4,  Casual  ,0,0,0,0
10,3.5,5072,0,,1,7086403,96 days 00:00:00.000000000,0,0,4,  Puzzle  ,1,0,0,0
11,3,526,0,,1,845008,337 days 00:00:00.000000000,0,0,4,    ,0,0,0,0
12,3.5,989,0.99,,1,3643392,3902 days 00:00:00.000000000,0,0,4,  Puzzle  ,1,0,0,0
13,2.5,2358,0,,1,731525,55 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
14,3,112,0,0.99,5,122826752,2409 days 00:00:00.000000000,1,0,4,    Board,0,0,0,1
15,3,112,0,0.99,5,122826752,2409 days 00:00:00.000000000,1,0,4,    Board,0,0,0,1
16,3,504,0,,1,444163,400 days 00:00:00.000000000,0,0,4,  Board  ,0,0,0,1
17,3.5,95971,0,"1.99, 0.99, 1.99, 0.99, 4.99, 1.99, 1.99",1,26820692,1527 days 00:00:00.000000000,0,0,4,  Puzzle  ,1,0,0,0
18,3.5,357,0,"0.99, 0.99, 0.99",1,52236288,3866 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
19,3,7,0.99,,1,1530880,2959 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
20,2,30,0.99,,1,4341760,3825 days 00:00:00.000000000,0,0,9,    Casual  ,0,0,0,0
21,4,637,0.99,,1,22873088,3147 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
22,3.5,1563,0,,1,6550985,0 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
23,4,41869,2.99,"0.99, 0.99, 0.99, 0.99",1,75041792,3475 days 00:00:00.000000000,0,0,9,    Action  ,0,0,1,0
24,3.5,72428,0,,1,55071744,3760 days 00:00:00.000000000,0,0,9,      Board,0,0,0,1
25,2.5,190,0.99,,8,4357120,3874 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
26,2.5,69,2.99,,1,44329984,2953 days 00:00:00.000000000,0,0,4,    Card  ,0,0,0,0
27,4,523,2.99,,17,9543680,3143 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
28,3.5,23,0,"1.99, 0.99",1,1298432,2435 days 00:00:00.000000000,0,0,4,  Card  ,0,0,0,0
29,4,156,5.99,,5,1751040,2827 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
30,4,3062,7.99,,6,7517184,3805 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
31,3.5,2425,0.99,,1,9641984,2138 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
32,3.5,518,2.99,,17,15837184,3119 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
33,3.5,5488,0.99,,6,5874688,3795 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
34,2.5,3521,0,,1,9402423,0 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
35,3.5,273687,0,"0.99, 2.99, 1.99",1,7774384,1472 days 00:00:00.000000000,0,0,9,      Simulation,0,1,0,0
36,3,67,0.99,,1,12423168,2227 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
37,3.5,5931,0,,1,7705600,3850 days 00:00:00.000000000,0,0,9,      Action,0,0,1,0
38,4,2798,1.99,,1,15547392,3112 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
39,4,16,2.99,,2,3940352,2479 days 00:00:00.000000000,0,0,4,  Board  ,0,0,0,1
40,4,483,7.99,,1,99019776,2606 days 00:00:00.000000000,0,0,4,  Board  ,0,0,0,1
41,3,75,2.99,,1,5731328,3181 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
42,4,5629,4.99,,11,93993984,3749 days 00:00:00.000000000,0,0,9,    Board  ,0,0,0,1
43,3,2482,0.99,,2,14894080,3225 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
44,3.5,77,0.99,,4,5044648,270 days 00:00:00.000000000,0,0,4,  Puzzle  Education  ,1,0,0,0
45,3,1461,0,,2,2584622,237 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
46,4,75,4.99,,2,18432000,2439 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
47,2.5,1741,0,,1,2323719,942 days 00:00:00.000000000,0,0,4,    Card  ,0,0,0,0
48,2.5,6,0,,1,1112393,0 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
49,3,740,0.99,,1,15541248,2712 days 00:00:00.000000000,0,0,9,  Finance    Simulation,0,1,0,0
50,3,89,0.99,,1,16785408,3545 days 00:00:00.000000000,0,0,4,    Word  ,0,0,0,0
51,3,187,0,1.99,1,25563136,2347 days 00:00:00.000000000,0,0,9,    Simulation  ,0,1,0,0
52,4,413,2.99,,1,5106688,3396 days 00:00:00.000000000,0,1,4,  Puzzle    ,1,0,0,0
53,3.5,9121,0,,1,5421981,510 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
54,4.5,17056,0.99,"0.0, 0.99, 5.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",1,55803904,1981 days 00:00:00.000000000,0,0,4,    Action  ,0,0,1,0
55,2.5,17045,0,,1,7543757,53 days 00:00:00.000000000,0,0,4,      Role Playing,0,0,0,0
56,3.5,42210,0,,1,16556848,710 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
57,2.5,1156,0,,1,6122222,0 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
58,2.5,20234,0,,1,4528173,7 days 00:00:00.000000000,0,0,12,  Sports    ,0,0,0,0
59,3.5,7,0.99,,1,3824640,2772 days 00:00:00.000000000,0,0,4,    Casual  ,0,0,0,0
60,3.5,125,2.99,,1,98282496,3204 days 00:00:00.000000000,0,0,4,    Word  ,0,0,0,0
61,2.5,359,5.99,,1,33982464,3584 days 00:00:00.000000000,0,0,4,  Card    ,0,0,0,0
62,3,6,0.99,,1,3134464,2762 days 00:00:00.000000000,0,0,4,    Casual  ,0,0,0,0
63,4,101209,0,"2.99, 2.99, 5.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.99, 0.99",1,58343424,1960 days 00:00:00.000000000,0,0,4,    Action  ,0,0,1,0
